Card Material,Card Type,Category,Cost,Description,Element,Job,Median,Name,Number,Power,Rarity,TCG,URL,set
Normal,Forward,FFL,5,"The Job Warrior of Light Forwards you control can form a party with Job Warrior of Light Forwards of any Element.
When Aigis enters the field, you may play 1 Job Warrior of Light of cost 4 or less from your hand onto the field.",Fire,Warrior of Light,0.17,Aigis,12-001R,9000,Rare,0.16,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/aigis,Opus XII
Foil,Forward,FFL,5,"The Job Warrior of Light Forwards you control can form a party with Job Warrior of Light Forwards of any Element.
When Aigis enters the field, you may play 1 Job Warrior of Light of cost 4 or less from your hand onto the field.",Fire,Warrior of Light,0.75,Aigis,12-001R,9000,Rare,1.17,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/aigis,Opus XII
Normal,Forward,FFL,2,"When Alba enters the field or attacks, choose 1 card in your opponent's Break Zone. Remove it from the game. If it is a Summon, Alba gains Haste until the end of the turn. If it is a Character, Alba gains +3000 power until the end of the turn.",Lightning,Warrior of Darkness,0.25,Alba,12-075R,5000,Rare,0.25,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/alba,Opus XII
Foil,Forward,FFL,2,"When Alba enters the field or attacks, choose 1 card in your opponent's Break Zone. Remove it from the game. If it is a Summon, Alba gains Haste until the end of the turn. If it is a Character, Alba gains +3000 power until the end of the turn.",Lightning,Warrior of Darkness,1.43,Alba,12-075R,5000,Rare,1.45,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/alba,Opus XII
Normal,Summon,DFF,1,"EX BURST Draw 1 card. If you have cast 4 or more cards this turn, draw 2 cards instead.",Wind,,0.12,Alexander EX,12-039C,,Common,0.13,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/alexander-ex,Opus XII
Foil,Summon,DFF,1,"EX BURST Draw 1 card. If you have cast 4 or more cards this turn, draw 2 cards instead.",Wind,,0.79,Alexander EX,12-039C,,Common,1.07,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/alexander-ex,Opus XII
Normal,Forward,XIV,3,"When Alisaie enters the field, select 1 of the 2 following actions.
""Play 1 Card Name Alphinaud from your hand onto the field.""
""Search for 1 Card Name Alphinaud and add it to your hand.""",Fire,Scion of the Seventh Dawn,0.24,Alisaie,12-003R,7000,Rare,0.20,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/alisaie,Opus XII
Foil,Forward,XIV,3,"When Alisaie enters the field, select 1 of the 2 following actions.
""Play 1 Card Name Alphinaud from your hand onto the field.""
""Search for 1 Card Name Alphinaud and add it to your hand.""",Fire,Scion of the Seventh Dawn,0.57,Alisaie,12-003R,7000,Rare,0.80,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/alisaie,Opus XII
Normal,Forward,XIV,3,"When Alphinaud enters the field due to your Summons or abilities, you may search for 1 Character and add it to your hand.",Fire,Scion of the Seventh Dawn,0.25,Alphinaud,12-004R,7000,Rare,0.29,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/alphinaud,Opus XII
Foil,Forward,XIV,3,"When Alphinaud enters the field due to your Summons or abilities, you may search for 1 Character and add it to your hand.",Fire,Scion of the Seventh Dawn,1.64,Alphinaud,12-004R,7000,Rare,1.57,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/alphinaud,Opus XII
Normal,Backup,FFCC,3,"When Althea enters the field, choose 1 Character other than Althea you control. Activate it.
[Dull]: Choose 1 Character other than Althea you control. Return it and Althea to their owners' hand.",Wind,Princess,0.47,Althea,12-038H,,Hero,0.41,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/althea,Opus XII
Foil,Backup,FFCC,3,"When Althea enters the field, choose 1 Character other than Althea you control. Activate it.
[Dull]: Choose 1 Character other than Althea you control. Return it and Althea to their owners' hand.",Wind,Princess,1.99,Althea,12-038H,,Hero,1.71,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/althea,Opus XII
Normal,Summon,FFEX,3,"Choose 1 auto-ability. Cancel its effect. If the cancelled auto-ability triggered from a Forward, deal that Forward 8000 damage. ",Fire,,1.18,Amaterasu,12-002H,,Hero,1.37,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/amaterasu,Opus XII
Foil,Summon,FFEX,3,"Choose 1 auto-ability. Cancel its effect. If the cancelled auto-ability triggered from a Forward, deal that Forward 8000 damage. ",Fire,,5.00,Amaterasu,12-002H,,Hero,4.73,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/amaterasu,Opus XII
Normal,Summon,FFEX,3,"Choose 1 auto-ability. Cancel its effect. If the cancelled auto-ability triggered from a Forward, deal that Forward 8000 damage. ",Fire,,N/A,Amaterasu (Full Art),12-002H,,Hero,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/amaterasu-full-art,Opus XII
Foil,Summon,FFEX,3,"Choose 1 auto-ability. Cancel its effect. If the cancelled auto-ability triggered from a Forward, deal that Forward 8000 damage. ",Fire,,N/A,Amaterasu (Full Art),12-002H,,Hero,31.14,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/amaterasu-full-art,Opus XII
Normal,Backup,FFCC,2,"[I][I][1][Dull]: Remove the top card of your deck from the game. If that card's cost is 4 or less, you may cast it without paying the cost this turn.",Ice,Crystal Bearer,0.25,Amidatelion,12-019R,,Rare,0.25,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/amidatelion,Opus XII
Foil,Backup,FFCC,2,"[I][I][1][Dull]: Remove the top card of your deck from the game. If that card's cost is 4 or less, you may cast it without paying the cost this turn.",Ice,Crystal Bearer,0.65,Amidatelion,12-019R,,Rare,0.65,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/amidatelion,Opus XII
Normal,Forward,FFL,3,"When Argy is put into the Break Zone in any situation by your opponent's Summons or abilities, add Argy to your hand at the end of the turn.
Damage 5 — When Argy is put from the field into the Break Zone, choose 1 Forward of cost 3 or less opponent controls. Break it.",Lightning,Memorist,0.50,Argy,12-074H,7000,Hero,0.54,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/argy,Opus XII
Foil,Forward,FFL,3,"When Argy is put into the Break Zone in any situation by your opponent's Summons or abilities, add Argy to your hand at the end of the turn.
Damage 5 — When Argy is put from the field into the Break Zone, choose 1 Forward of cost 3 or less opponent controls. Break it.",Lightning,Memorist,1.50,Argy,12-074H,7000,Hero,1.93,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/argy,Opus XII
Normal,Forward,XII,2,"If you control 6 or more Characters, Ashe gains +2000 power and ""Ashe cannot be chosen by your opponent's abilities.""
At the end of each of your turns, if you have cast 3 or more cards this turn, draw 1 card.",Wind,Princess,5.50,Ashe,12-037L,5000,Legend,4.89,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/ashe,Opus XII
Foil,Forward,XII,2,"If you control 6 or more Characters, Ashe gains +2000 power and ""Ashe cannot be chosen by your opponent's abilities.""
At the end of each of your turns, if you have cast 3 or more cards this turn, draw 1 card.",Wind,Princess,8.50,Ashe,12-037L,5000,Legend,10.02,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/ashe,Opus XII
Normal,Forward,XII,2,"If you control 6 or more Characters, Ashe gains +2000 power and ""Ashe cannot be chosen by your opponent's abilities.""
At the end of each of your turns, if you have cast 3 or more cards this turn, draw 1 card.",Wind,Princess,N/A,Ashe (Full Art),12-037L,5000,Legend,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/ashe-full-art,Opus XII
Foil,Forward,XII,2,"If you control 6 or more Characters, Ashe gains +2000 power and ""Ashe cannot be chosen by your opponent's abilities.""
At the end of each of your turns, if you have cast 3 or more cards this turn, draw 1 card.",Wind,Princess,55.00,Ashe (Full Art),12-037L,5000,Legend,50.06,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/ashe-full-art,Opus XII
Normal,Backup,XIV,2,"[Dull], put Astrologian into the Break Zone: Reveal the top card of your deck. If it is not a Backup, add it to your hand.",Water,Standard Unit,0.10,Astrologian,12-100C,,Common,0.10,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/astrologian,Opus XII
Foil,Backup,XIV,2,"[Dull], put Astrologian into the Break Zone: Reveal the top card of your deck. If it is not a Backup, add it to your hand.",Water,Standard Unit,0.64,Astrologian,12-100C,,Common,0.75,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/astrologian,Opus XII
Normal,Forward,X,3,"If you have 3 or more Fire Summons in your Break Zone, Bahamut gains +2000 power and if you have 7 or more, Bahamut also gains ""When Bahamut attacks, deal 5000 damage to all the Forwards opponent controls.""
Impulse [S]: Deal 4000 damage to all the Forwards opponent controls.
Mega Flare [S]: Choose 1 Forward. Deal it 9000 damage.",Fire,Bahamut,0.25,Bahamut,12-014R,7000,Rare,0.26,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bahamut,Opus XII
Foil,Forward,X,3,"If you have 3 or more Fire Summons in your Break Zone, Bahamut gains +2000 power and if you have 7 or more, Bahamut also gains ""When Bahamut attacks, deal 5000 damage to all the Forwards opponent controls.""
Impulse [S]: Deal 4000 damage to all the Forwards opponent controls.
Mega Flare [S]: Choose 1 Forward. Deal it 9000 damage.",Fire,Bahamut,1.99,Bahamut,12-014R,7000,Rare,1.30,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bahamut,Opus XII
Normal,Forward,X,3,"When 1 or more dull Backups you control is activated due to your Summons or abilities, deal 3000 damage to all the Forwards opponent controls.
When your opponent discards 1 or more cards from their hand due to your Summons or abilities, choose 1 Character. Dull it and Freeze it.",Water;Wind,Praetor,0.25,Baralai,12-114R,7000,Rare,0.31,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/baralai,Opus XII
Foil,Forward,X,3,"When 1 or more dull Backups you control is activated due to your Summons or abilities, deal 3000 damage to all the Forwards opponent controls.
When your opponent discards 1 or more cards from their hand due to your Summons or abilities, choose 1 Character. Dull it and Freeze it.",Water;Wind,Praetor,3.00,Baralai,12-114R,7000,Rare,3.50,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/baralai,Opus XII
Normal,Backup,XIV,3,"When your opponent discards a card from their hand due to your Summons or abilities, you may put Bard into the Break Zone. When you do so, draw 2 cards.",Ice,Standard Unit,0.10,Bard,12-028C,,Common,0.09,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bard,Opus XII
Foil,Backup,XIV,3,"When your opponent discards a card from their hand due to your Summons or abilities, you may put Bard into the Break Zone. When you do so, draw 2 cards.",Ice,Standard Unit,0.76,Bard,12-028C,,Common,1.00,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bard,Opus XII
Normal,Forward,V DFF,4,"The Forwards of cost 1 you control gain Haste.
When Bartz forms a party and attacks, you may search for 1 Forward of cost 1 and play it onto the field. ",Wind,Warrior of Light,0.50,Bartz,12-052H,8000,Hero,0.42,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bartz,Opus XII
Foil,Forward,V DFF,4,"The Forwards of cost 1 you control gain Haste.
When Bartz forms a party and attacks, you may search for 1 Forward of cost 1 and play it onto the field. ",Wind,Warrior of Light,1.99,Bartz,12-052H,8000,Hero,2.15,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bartz,Opus XII
Normal,Forward,V DFF,4,"The Forwards of cost 1 you control gain Haste.
When Bartz forms a party and attacks, you may search for 1 Forward of cost 1 and play it onto the field. ",Wind,Warrior of Light,N/A,Bartz (Full Art),12-052H,8000,Hero,N/A,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bartz-full-art,Opus XII
Foil,Forward,V DFF,4,"The Forwards of cost 1 you control gain Haste.
When Bartz forms a party and attacks, you may search for 1 Forward of cost 1 and play it onto the field. ",Wind,Warrior of Light,19.37,Bartz (Full Art),12-052H,8000,Hero,17.91,https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bartz-full-art,Opus XII
