,Description,URL,Ability Cost
10,"When Althea enters the field, choose 1 Character other than Althea you control. Activate it.
[Dull]: Choose 1 Character other than Althea you control. Return it and Althea to their owners' hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/althea,[Dull]
16,"[I][I][1][Dull]: Remove the top card of your deck from the game. If that card's cost is 4 or less, you may cast it without paying the cost this turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/amidatelion,[I][I][1][Dull]
24,"[Dull], put Astrologian into the Break Zone: Reveal the top card of your deck. If it is not a Backup, add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/astrologian,"[Dull], put Astrologian into the Break Zone"
26,"If you have 3 or more Fire Summons in your Break Zone, Bahamut gains +2000 power and if you have 7 or more, Bahamut also gains ""When Bahamut attacks, deal 5000 damage to all the Forwards opponent controls.""
Impulse [S]: Deal 4000 damage to all the Forwards opponent controls.
Mega Flare [S]: Choose 1 Forward. Deal it 9000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/bahamut,Impulse [S]
36,"When Beatrix or a Job Knight enters your field, all the Forwards you control gain +2000 power until the end of the turn.
[0]: During this turn, the cost required to cast your next Job Knight Forward is reduced by 2 (it cannot become 0). You can only use this ability during your turn and only once per turn.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/beatrix,[0]
44,"[R][Rest], put Black Mage into the Break Zone: Choose 1 Forward. Deal it 5000 damage.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/black-mage,"[R][Rest], put Black Mage into the Break Zone"
82,"[Dull], put Dragoon into the Break Zone: Choose 1 Job Dragoon or Card Name Dragoon in your Break Zone. Add it to your hand.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dragoon-xiv,"[Dull], put Dragoon into the Break Zone"
84,"When Dusk enters the field, you may pay [U]. When you do so, play 1 Forward of cost 3 or less from your hand onto the field.
Blessing [S][U]: Choose 1 Forward of cost 3 or less other than Dusk. It gains +5000 power until the end of the turn. Draw 1 card.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/dusk,Blessing [S][U]
86,"When Eduardo enters the field, dull all the Characters opponent controls.
Dire Dirge [S][I][I][I][I][I]: Break all the dull Backups.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/eduardo,Dire Dirge [S][I][I][I][I][I]
90,"When Enkidu enters the field or attacks, deal 1000 damage to all the Forwards opponent controls.
Hurricane S: Choose 1 Forward. Deal it damage equal to its power minus 1000.",https://shop.tcgplayer.com/final-fantasy-tcg/opus-xii/enkidu,Hurricane S
